Date,Open,High,Low,Close,Volume
2022/1/3,194.8,199.2,194.5,197.2,1.94M
2022/1/4,196.9,199.5,194.3,197.2,1.83M
2022/1/5,185,186.5,178.6,179.1,4.24M
2022/1/6,180.8,182.9,177.5,179.3,1.58M
2022/1/7,180,185,178.9,183,1.26M
2022/1/10,177.1,177.3,171,175.2,2.61M
2022/1/11,167,170,165,167.5,2.12M
2022/1/12,176,184.8,176,183.8,2.28M
2022/1/13,187.6,188.3,183.2,184.3,1.18M
2022/1/14,184.2,188.9,180.2,188.3,1.07M
2022/1/17,193,194.7,189.4,191,1.75M
2022/1/18,194.3,194.3,187.4,189.8,1.25M
2022/1/19,189.4,189.4,178.3,178.7,1.30M
2022/1/20,172.1,178.1,170.2,176.4,1.71M
2022/1/21,174.4,176.7,171.7,174.6,1.39M
2022/1/24,166.8,166.8,164,164,2.75M
2022/1/25,156,157.2,151.9,153,3.26M
2022/1/26,145.6,152.8,145.6,149.2,2.72M
2022/1/27,145.5,145.5,139,141,2.79M
2022/1/28,129,131,123.6,125.7,5.42M
2022/1/31,126,127.5,122,124.9,1.58M
2022/2/4,136.6,139.4,133.2,138.9,2.64M
2022/2/7,144.2,145.8,140.4,142.9,2.32M
2022/2/8,143.5,144.8,138.1,141.2,2.00M
2022/2/9,150,157.5,145.6,152.5,8.75M
2022/2/10,156.8,161.8,154.5,157.2,4.95M
2022/2/11,151.5,153.9,150,152.2,4.19M
2022/2/14,145,148.1,143.2,145.3,2.95M
2022/2/15,145.3,149.4,144,146.2,3.13M
2022/2/16,155,160.6,154,156.2,2.54M
2022/2/17,153,155.3,150.8,154.9,2.11M
2022/2/18,154.9,158.9,152.1,155,2.42M
2022/2/21,149,153.6,148.5,150.9,3.15M
2022/2/22,147,147.8,142,144.8,2.32M
2022/2/23,139,143.8,137.5,139.8,8.28M
2022/2/24,135,135,126.1,129.8,7.12M
2022/2/25,133.5,139.1,133.5,136,2.97M
2022/2/28,136,136,130.7,135.1,3.06M
2022/3/1,140.6,144.5,140,142.9,2.94M
2022/3/2,135,139,134.8,135.7,3.63M
2022/3/3,135.9,136.5,130.8,133.2,3.21M
2022/3/4,121.5,121.5,115.9,115.9,13.34M
2022/3/7,112.1,115.2,111,113.2,5.55M
2022/3/8,106.1,111,98.1,98.6,8.33M
2022/3/9,100.5,103.8,96.1,103,5.13M
2022/3/10,111.6,113.8,108.2,109.9,4.03M
2022/3/11,101.2,106,98.3,105.4,4.83M
2022/3/14,90.9,92,80.65,82,9.66M
2022/3/15,77.7,83.4,71.85,73.65,14.74M
2022/3/16,82.1,102.4,78.3,97.5,16.25M
2022/3/17,112.1,112.7,98.1,101.5,14.07M
2022/3/18,98.95,103,95.3,102.6,13.53M
2022/3/21,111.4,113,103,105.4,6.29M
2022/3/22,106.5,110,103.6,110,4.48M
2022/3/23,112.6,118.3,110,112.1,6.58M
2022/3/24,114.2,117.3,109.6,111.3,6.47M
2022/3/25,112,113.4,104,107.4,6.78M
2022/3/28,105.8,106.8,100.4,103.8,3.28M
2022/3/29,106.4,106.9,103,105.5,2.67M
2022/3/30,109.1,115,108.3,114.7,4.87M
2022/3/31,112.6,112.6,108.5,112.5,2.12M
2022/4/1,108.8,111.6,105.8,111.3,1.59M
2022/4/4,115.7,124.6,115,122.8,5.07M
2022/4/6,118.7,119.4,115.4,115.8,4.49M
2022/4/7,113.5,117.8,113,115.8,2.50M
2022/4/8,110.8,111.5,107.1,111.2,3.59M
2022/4/11,106.5,107,99.1,100.2,4.62M
2022/4/12,102,107.4,100.6,104.8,3.41M
2022/4/13,100.8,105,100.4,103.3,2.43M
2022/4/14,108,111.4,107.5,109.3,2.35M
2022/4/19,105.8,107.9,104.3,104.8,1.88M
2022/4/20,106,107.6,104.2,104.8,1.32M
2022/4/21,98.75,101,97.05,100.2,3.06M
2022/4/22,94.35,97.3,92.4,95.85,3.30M
2022/4/25,92.1,93.9,87.05,88.9,3.25M
